Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Orange HRM Automation Demo/Page_OrangeHRM/a_Admin""))",Chrome 114.0.0.0,,,2023-06-13 23:59:44,2023-06-13 23:59:46,1.796s,PASSED
"click(findTestObject(""Object Repository/Orange HRM Automation Demo/Page_OrangeHRM/i_Enabled_oxd-icon bi-check oxd-checkbox-in_111cd0""))",Chrome 114.0.0.0,,,2023-06-13 23:59:46,2023-06-13 23:59:48,1.645s,PASSED
"click(findTestObject(""Object Repository/Orange HRM Automation Demo/Page_OrangeHRM/i_Enabled_oxd-icon bi-trash""))",Chrome 114.0.0.0,,,2023-06-13 23:59:48,2023-06-13 23:59:48,0.625s,PASSED
"click(findTestObject(""Object Repository/Orange HRM Automation Demo/Page_OrangeHRM/i_Yes, Delete_oxd-icon bi-trash oxd-button-icon""))",Chrome 114.0.0.0,,,2023-06-13 23:59:48,2023-06-13 23:59:49,0.575s,PASSED
"takeScreenshotAsCheckpoint(""full_view"", CONTINUE_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-13 23:59:49,2023-06-13 23:59:50,1.226s,PASSED
"click(findTestObject(""Object Repository/Orange HRM Automation Demo/Page_OrangeHRM/span_Performance""))",Chrome 114.0.0.0,,,2023-06-13 23:59:50,2023-06-13 23:59:52,1.967s,PASSED
"click(findTestObject(""Object Repository/Orange HRM Automation Demo/Page_OrangeHRM/a_Time""))",Chrome 114.0.0.0,,,2023-06-13 23:59:52,2023-06-13 23:59:56,3.476s,PASSED
"click(findTestObject(""Object Repository/Orange HRM Automation Demo/Page_OrangeHRM/span_Magdalena Lozowska-Pereira kim""))",Chrome 114.0.0.0,,,2023-06-13 23:59:56,2023-06-13 23:59:57,1.484s,PASSED
"click(findTestObject(""Object Repository/Orange HRM Automation Demo/Page_OrangeHRM/a_Logout""))",Chrome 114.0.0.0,,,2023-06-13 23:59:57,2023-06-13 23:59:59,1.400s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-13 23:59:59,2023-06-13 23:59:59,0.823s,PASSED
